Selectivity_Desc,Filter_Type,Latency_Naive,Recall_Naive,Latency_Bitmap,Recall_Bitmap,Latency_Adaptive,Recall_Adaptive,Bucket
Price > $10 (Top 18% - Common),price,0.5570829380303621,50.0,16.45170897245407,45.0,0.6360418628901243,50.0,3. Common (>10%)
Price > $10 (Top 18% - Common),price,0.8413328323513269,50.0,13.326916843652725,50.0,0.6879169959574938,50.0,3. Common (>10%)
Price > $10 (Top 18% - Common),price,1.1976670939475298,50.0,12.507166946306825,50.0,1.0524170938879251,50.0,3. Common (>10%)
Price > $10 (Top 18% - Common),price,0.38858293555676937,5.0,11.691292049363256,50.0,1.0418749880045652,50.0,3. Common (>10%)
Price > $10 (Top 18% - Common),price,0.4563750699162483,50.0,11.275083059445024,15.0,0.610667048022151,50.0,3. Common (>10%)
Price > $10 (Top 18% - Common),price,0.3622090443968773,50.0,11.702625080943108,50.0,0.3258329816162586,50.0,3. Common (>10%)
Price > $10 (Top 18% - Common),price,0.5339998751878738,5.0,11.289166985079646,50.0,1.1987080797553062,50.0,3. Common (>10%)
Price > $10 (Top 18% - Common),price,0.6306669674813747,40.0,11.895916890352964,50.0,0.7993329782038927,50.0,3. Common (>10%)
Price > $10 (Top 18% - Common),price,0.7961660157889128,50.0,12.947750044986606,40.0,0.719917006790638,50.0,3. Common (>10%)
Price > $10 (Top 18% - Common),price,0.6196671165525913,40.0,11.737915920093656,20.0,0.7726671174168587,50.0,3. Common (>10%)
Category = Computers (31% - Very Common),category,0.8011248428374529,15.0,0.0,0.0,1.39699992723763,50.0,3. Common (>10%)
Category = Computers (31% - Very Common),category,0.575249781832099,50.0,0.0,0.0,0.2341249492019415,50.0,3. Common (>10%)
Category = Computers (31% - Very Common),category,1.096332911401987,0.0,0.0,0.0,5.469667026773095,50.0,3. Common (>10%)
Category = Computers (31% - Very Common),category,0.48099993728101254,20.0,0.0,0.0,3.0177501030266285,50.0,3. Common (>10%)
Category = Computers (31% - Very Common),category,0.49120793119072914,50.0,0.0,0.0,0.2902501728385687,50.0,3. Common (>10%)
Category = Computers (31% - Very Common),category,0.4588330630213022,0.0,0.0,0.0,1.8276250921189785,20.0,3. Common (>10%)
Category = Computers (31% - Very Common),category,0.7419590838253498,50.0,0.0,0.0,0.34449994564056396,50.0,3. Common (>10%)
Category = Computers (31% - Very Common),category,0.6348330061882734,50.0,0.0,0.0,0.24695810861885548,50.0,3. Common (>10%)
Category = Computers (31% - Very Common),category,0.8322079665958881,0.0,0.0,0.0,1.1060000397264957,50.0,3. Common (>10%)
Category = Computers (31% - Very Common),category,0.6034169346094131,50.0,0.0,0.0,0.24895812384784222,50.0,3. Common (>10%)
Price > $2.50 (Top 33% - Abundant),price,0.5227499641478062,50.0,11.527332942932844,30.0,0.5135410465300083,50.0,3. Common (>10%)
Price > $2.50 (Top 33% - Abundant),price,0.5903330165892839,50.0,11.625833110883832,50.0,0.4960419610142708,50.0,3. Common (>10%)
Price > $2.50 (Top 33% - Abundant),price,0.9209162089973688,50.0,12.796540977433324,50.0,1.050458988174796,50.0,3. Common (>10%)
Price > $2.50 (Top 33% - Abundant),price,0.421375036239624,40.0,11.924457969143987,10.0,0.5382499657571316,50.0,3. Common (>10%)
Price > $2.50 (Top 33% - Abundant),price,0.4699169658124447,50.0,13.241042150184512,15.0,0.3225000109523535,50.0,3. Common (>10%)
Price > $2.50 (Top 33% - Abundant),price,0.35912496969103813,50.0,11.599082965403795,50.0,0.341957900673151,50.0,3. Common (>10%)
Price > $2.50 (Top 33% - Abundant),price,0.5321251228451729,50.0,11.660084128379822,5.0,0.4385411739349365,50.0,3. Common (>10%)
Price > $2.50 (Top 33% - Abundant),price,0.5740411579608917,50.0,11.910374974831939,20.0,0.3191661089658737,50.0,3. Common (>10%)
Price > $2.50 (Top 33% - Abundant),price,0.7949999999254942,50.0,11.775874998420477,25.0,0.42891595512628555,50.0,3. Common (>10%)
Price > $2.50 (Top 33% - Abundant),price,0.6530000828206539,50.0,12.041124980896711,5.0,0.5198339931666851,50.0,3. Common (>10%)
